"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl"
"PS-BABE-REPAIR-SERUM-30ML-8E572C";"";"BABE REPAIR SERUM 30ML";"0.000";"0.000";"111.860";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-repair-serum-30ml-600x315w.jpg";"Acheter BABE REPAIR SERUM à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"133.113";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-repair-serum-30ml"
"PS-BABE-STOP-AKN-CREME-HYDR-47DD19";"";"BABE STOP AKN CREME HYDRATANTE MATIFIANTE 50ML";"0.000";"0.000";"39.211";"46.660";"18.997";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/BABÉ/babe-stop-akn-creme-hydratante-matifiante-600x315w.jpg";"BABE STOP AKN CREME HYDRATANTE MATIFIANTE régule le sébum et réduit la brillance du visage. Au meilleur prix chez parashop tunisie";"";"visage";"54.895";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-stop-akn-creme-hydratante-matifiante"
"PS-BABE-STOP-AKN-CREME-HYDR-674E4B";"";"BABE STOP AKN CREME HYDRATANTE REPARATRICE 50ML";"0.000";"0.000";"44.319";"52.740";"19.001";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/BABÉ/babe-stop-akn-creme-hydratante-reparatrice-600x315w.jpg";"BABE STOP AKN CREME HYDRATANTE REPARATRICE pour les peaux soumises à un traitement anti-acnéique desséchants.";"";"visage";"62.047";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-stop-akn-creme-hydratante-reparatrice"
"PS-BABE-STOP-AKN-FLUIDE-KER-526919";"";"BABE STOP AKN FLUIDE KERATOLYTIQUE EXFOLIANT";"0.000";"0.000";"45.662";"54.338";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/BABÉ/babe-stop-akn-fluide-keratolytique-exfoliant-600x315w.jpg";"BABE STOP AKN FLUIDE KERATOLYTIQUE EXFOLIANT permet le renouvellement cellulaire à l";"";"visage";"63.927";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-stop-akn-fluide-keratolytique-exfoliant"
"PS-BABE-STOP-AKN-GEL-NETTOY-1AAE77";"";"BABE STOP AKN GEL NETTOYANT PURIFIANT 200ML";"0.000";"0.000";"27.924";"33.230";"19.002";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/BABÉ/babe-gel-nettoyant-purifiant-200ml-600x315w.jpg";"BABE STOP AKN GEL NETTOYANT PURIFIANT élimine les impuretés et aide à contrôler l";"";"visage";"39.870";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-stop-akn-gel-nettoyant-purifiant-200ml"
"PS-BABE-STOP-AKN-SPOT-CONTR-7C9422";"";"BABE STOP AKN SPOT CONTROL GEL 8ML";"0.000";"0.000";"21.287";"25.332";"19.002";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/BABÉ/babe-stop-akn-spot-control-gel-600x315w.jpg";"BABE STOP AKN SPOT CONTROL GEL à action asséchante intensive pour la réduction et la cicatrisation des lésions. A prix bas chez parashop tunisie";"";"visage";"29.802";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-stop-akn-spot-control-gel"
"PS-BEESLINE-COFFRET-INSTANT-B8D1A8";"";"BEESLINE COFFRET INSTANT BRIGHT EAU MICELLAIRE + LOTION TONIQUE";"0.000";"0.000";"60.000";"99.000";"65.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/beesline/beesline-coffret-instant-bright-eau-micellaire-lotion-tonique-600x315w.jpg";"BEESLINE COFFRET INSTANT BRIGHT EAU MICELLAIRE + LOTION TONIQUE est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"101.388";"-25%";"";"";"";"https://www.parashop.tn/visage/beesline-coffret-instant-bright-eau-micellaire-lotion-tonique"
"PS-BEESLINE-COFFRET-INSTANT-338907";"";"BEESLINE COFFRET INSTANT BRIGHT GLOW SERUM  + CREME DE JOUR";"0.000";"0.000";"96.000";"99.000";"3.125";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/beesline/beesline-coffret-instant-bright-glow-serum-creme-de-jour-600x315w.jpg";"BEESLINE COFFRET INSTANT BRIGHT GLOW SERUM  + CREME DE JOUR au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"114.240";"-25%";"";"";"";"https://www.parashop.tn/visage/beesline-coffret-instant-bright-glow-serum-creme-de-jour"
"PS-BEESLINE-NETTOYANT-ECLAI-BFFC6B";"";"BEESLINE Gel Nettoyant Eclaircissant Peaux Mixtes à Grasses 250ML";"0.000";"0.000";"30.000";"99.000";"230.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/beesline/beesline-nettoyant-eclaircissant-peaux-mixtes-grasses-250ml-600x315w.jpg";"Commander BEESLINE Gel Nettoyant Eclaircissant Peaux Mixtes à Grasses à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/beesline-nettoyant-eclaircissant-peaux-mixtes-grasses-250ml"
"PS-BEESLINE-0F4A4F";"";"Beesline";"0.000";"0.000";"52.248";"62.175";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/marques/beesline-logo-600x315w.jpg";"";"Beesline BEESLINE PACK SUNTAN OIL GOLD + AFTER SUN LOTION OFFERT BEESLINE PACK SUNTAN OIL GOLD + AFTER SUN LOTION OFFERT";"marque";"77.100";"-25%";"";"";"";"https://www.parashop.tn/beesline"
"PS-BEESLINE-GOMMAGE-OXYGENE-420B10";"";"BEESLINE Gommage Oxygene Visage 25ML";"0.000";"0.000";"7.200";"99.000";"1275.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/beesline/beesline-gommage-oxygene-visage-25ml-600x315w.jpg";"Commander BEESLINE Gommage Oxygene Visage à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/beesline-gommage-oxygene-visage-25ml"
"PS-BEESLINE-INSTANT-BRIGHT--9BA19B";"";"BEESLINE INSTANT BRIGHT DAY CREAM 50ML";"0.000";"0.000";"76.800";"99.000";"28.906";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/beesline/beesline-instant-bright-day-cream-50ml-600x315w.jpg";"BEESLINE INSTANT BRIGHT DAY CREAM disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/beesline-instant-bright-day-cream-50ml"
