"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl"
"PS-DUCRAY-DUO-MELASCREEN-CO-B4DA1F";"";"DUCRAY DUO MELASCREEN Concentre antitaches + Creme anti taches SPF50+ 0FFERTE";"0.000";"0.000";"99.570";"118.488";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/ducray/ducray-duo-melascreen-concentre-antitaches-creme-anti-taches-spf50-600x315w.jpg";"DUCRAY DUO MELASCREEN Concentre antitaches + Creme anti taches SPF50+ 0FFERTE";"DUCRAY";"visage";"179.277";"-25%";"";"";"";"https://www.parashop.tn/visage/ducray-duo-melascreen-concentre-antitaches-creme-anti-taches-spf50-0fferte"
"PS-ISDIN-PACK-HYALURONIC-CO-99CCA6";"";"ISDIN PACK Hyaluronic Concentrate Serum + GAMARDE CREME HYDRATANTE RICHE OFFERTE";"0.000";"0.000";"126.000";"149.940";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/isdin/isdin-pack-hyaluronic-concentrate-serum-gamarde-creme-hydratante-riche-offerte-600x315w.jpg";"ISDIN PACK Hyaluronic Concentrate Serum + GAMARDE CREME HYDRATANTE RICHE OFFERTE";"";"visage";"192.780";"-25%";"";"";"";"https://www.parashop.tn/visage/isdin-pack-hyaluronic-concentrate-serum-gamarde-creme-hydratante-riche"
"PS-DUCRAY-DUO-MELASCREEN-CO-EA830F";"";"DUCRAY DUO MELASCREEN Concentre antitaches + Fluide Anti Taches SPF50+ 0FFERT";"0.000";"0.000";"99.570";"118.488";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/ducray/ducray-duo-melascreen-concentre-antitaches-fluide-anti-taches-spf50-600x315w.jpg";"DUCRAY DUO MELASCREEN Concentre antitaches + Fluide Anti Taches SPF50+ 0FFERT";"DUCRAY";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/ducray-duo-melascreen-concentre-antitaches-fluide-anti-taches-spf50-0ffert"
"PS-FIDERMA-PACK-CLARIFID-SE-3BB2A8";"";"FIDERMA PACK CLARIFID SERUM NUIT + CREME DEPIGMENTANTE JOUR + HYDRAFID GEL NETTOYANT GRATUIT";"0.000";"0.000";"163.320";"194.351";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/fiderma/fiderma-pack-clarifid-serum-nuit-creme-depigmentante-jour-hydrafid-gel-nettoyant-gratuit-600x315w.jpg";"FIDERMA PACK CLARIFID SERUM NUIT + CREME DEPIGMENTANTE JOUR + HYDRAFID GEL NETTOYANT GRATUIT";"FIDERMA";"visage";"245.259";"-25%";"";"";"";"https://www.parashop.tn/visage/fiderma-pack-clarifid-serum-nuit-creme-depigmentante-jour-hydrafid-gel-nettoyant-gratuit"
"PS-INNOVADERM-PACK-DEPIGMEN-A7CC0E";"";"INNOVADERM PACK DEPIGMENTANT JOUR et NUIT - PEAU MIXTE A GRASSE";"0.000";"0.000";"113.613";"135.199";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/innovaderm/innovaderm-pack-depigmentant-jour-et-nuit-peau-mixte-a-grasse-600x315w.jpg";"INNOVADERM PACK DEPIGMENTANT JOUR et NUIT - PEAU MIXTE A GRASSE";"Innovaderm";"visage";"160.488";"-25%";"";"";"";"https://www.parashop.tn/visage/innovaderm-pack-depigmentant-jour-et-nuit-peau-mixte-a-grasse"
"PS-FILORGA-COFFRET-MESO-MAS-8298C5";"";"FILORGA COFFRET MESO MASK + TIME-FILLER 5XP CREME 30ML OFFERTE";"0.000";"0.000";"107.995";"128.514";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/filorga/filorga-coffret-meso-mask-time-filler-5xp-creme-30ml-offerte-600x315w.jpg";"FILORGA COFFRET MESO MASK + TIME-FILLER 5XP CREME 30ML OFFERTE Disponible chez parashop tunisie à prix bas";"FILORGA";"visage";"179.802";"-25%";"";"";"";"https://www.parashop.tn/visage/filorga-coffret-meso-mask-time-filler-5xp-creme-30ml-offerte"
"PS-ISDIN-TROUSSE-ACNIBEN-CO-30F5E3";"";"ISDIN TROUSSE Acniben Controle + MASQUE PURIFIANT";"0.000";"0.000";"87.143";"103.700";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/isdin/isdin-trousse-acniben-controle-masque-purifiant-600x315w.jpg";"ISDIN TROUSSE Acniben Controle + MASQUE PURIFIANT";"";"visage";"117.096";"-25%";"";"";"";"https://www.parashop.tn/visage/isdin-trousse-acniben-controle-masque-purifiant"
"PS-ALANIA-PACK-PURETE-VITAM-8A6BBE";"";"ALANIA PACK PURETE+ VITAMINE C SERUM DUO + GEL NETTOYANT + EAU TONIQUE OFFERTE - 2025";"0.000";"0.000";"86.016";"99.000";"15.095";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/alania/alania-pack-purete-vitamine-c-serum-duo-gel-nettoyant-eau-tonique-offerte-2025-600x315w.jpg";"ALANIA COFFRET Routine Visage Eclatant  est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"102.359";"-25%";"";"";"";"https://www.parashop.tn/visage/alania-pack-purete-vitamine-c-serum-duo-gel-nettoyant-eau-tonique-offerte-2025"
"PS-INNOVADERM-PACK-DEPIGMEN-3133FB";"";"INNOVADERM PACK DEPIGMENTANT JOUR et NUIT - PEAU SECHE";"0.000";"0.000";"113.613";"135.199";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/innovaderm/innovaderm-pack-depigmentant-jour-et-nuit-peau-seche-600x315w.jpg";"INNOVADERM PACK DEPIGMENTANT JOUR et NUIT - PEAU SECHE";"Innovaderm";"visage";"161.468";"-25%";"";"";"";"https://www.parashop.tn/visage/innovaderm-pack-depigmentant-jour-et-nuit-peau-seche"
"PS-NOVEXPERT-PACK-ECLAT-ADBD21";"";"NOVEXPERT Pack Eclat";"0.000";"0.000";"138.378";"164.670";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/novexpert/novexpert-pack-eclat-600x315w.jpg";"novexpert peeling de nuit est un traitement intensif rénovateur d";"NOVEXPERT";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/novexpert-pack-eclat"
"PS-SVR-DENSITIUM-COFFRET-MA-E23EF0";"";"SVR DENSITIUM COFFRET Ma Routine Anti Age Globale - Peaux Normales à Sèches";"0.000";"0.000";"114.008";"135.670";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-densitium-coffret-ma-routine-anti-age-globale-pns-600x315w.jpg";"SVR DENSITIUM COFFRET Ma Routine Anti Age Globale Peaux Normales à Sèches  au meilleur prix chez parashop tunisie";"SVR";"visage";"168.218";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-densitium-coffret-ma-routine-anti-age-globale-peaux-normales-a-seches"
"PS-SVR-PACK-SEBIACLEAR-ACTI-47EA4C";"";"SVR PACK SEBIACLEAR Active Teinté 40ML​ + EAU MICELLAIRE 75ML OFFERTE - 2025";"0.000";"0.000";"37.739";"44.909";"18.999";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-pack-sebiaclear-active-teinte-40ml​-eau-micellaire-75ml-offerte-2025-600x315w.jpg";"SVR PACK SEBIACLEAR Active Teinté 40ML​ + EAU MICELLAIRE 75ML OFFERTE - 2025";"SVR";"visage";"47.088";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-pack-sebiaclear-active-teinte-40ml%E2%80%8B-eau-micellaire-75ml-offerte-2025"
"PS-LIERAC-PACK-MESOLIFT-C15-594CF3";"";"LIERAC PACK MESOLIFT C15 CONCENTRE EXTEMPORANE 2X15ML - 2025";"0.000";"0.000";"130.334";"155.097";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/lierac/lierac-pack-mesolift-c15-concentre-extemporane-2x15ml-600x315w.jpg";"LIERAC PACK MESOLIFT C15 CONCENTRE EXTEMPORANE 2X15ML";"LIERAC";"visage";"182.467";"-25%";"";"";"";"https://www.parashop.tn/visage/lierac-pack-mesolift-c15-concentre-extemporane-2x15ml"
"PS-URIAGE-PACK-EAU-THERMALE-77CC0A";"";"URIAGE PACK EAU THERMALE CREME D";"0.000";"0.000";"61.998";"73.778";"19.001";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/uriage/uriage-pack-eau-thermale-creme-deau-legere-contour-des-yeux-eau-micellaire-seches-offerte-600x315w.jpg";"URIAGE PACK EAU THERMALE CREME D";"";"visage";"107.556";"-25%";"";"";"";"https://www.parashop.tn/visage/uriage-pack-eau-thermale-creme-deau-legere-contour-des-yeux-eau-micellaire-seches-offerte"
"PS-DUCRAY-PACK-KERACNYL-SER-68B832";"";"DUCRAY PACK KERACNYL SERUM 30ML";"0.000";"0.000";"65.210";"77.600";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/ducray/ducray-pack-keracnyl-serum-30ml-600x315w.jpg";"DUCRAY PACK KERACNYL SERUM 30ML";"DUCRAY";"visage";"99.000";"-25%";"";"";"";"https://www.parashop.tn/visage/ducray-pack-keracnyl-serum-30ml"
"PS-DUCRAY-KERACNYL-PACK-GEL-F8DFD8";"";"DUCRAY KERACNYL PACK GEL MOUSSANT 400ML + BANDEAU OFFERT";"0.000";"0.000";"54.604";"64.979";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/ducray/ducray-keracnyl-pack-gel-moussant-400ml-bandeau-offert-600x315w.jpg";"Le gel moussant Keracnyl Ducray est adapté aux peaux à tendance acnéique, points noirs, boutons, Visage Corps. A prix bas tunisie";"DUCRAY";"visage";"68.355";"-25%";"";"";"";"https://www.parashop.tn/visage/ducray-keracnyl-pack-gel-moussant-400ml-bandeau-offert"
"PS-LA-ROCHE-POSAY-PACK-PIGM-C07910";"";"LA ROCHE POSAY PACK PIGMENTCLAR UV SPF30 + EAU THERMALE 50ML OFFERTE";"0.000";"0.000";"153.600";"182.784";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/laroche-posay/la-roche-posay-pack-pigmentclar-uv-spf30-eau-thermale-50ml-offerte-600x315w.jpg";"LA ROCHE POSAY PACK PIGMENTCLAR UV SPF30 + EAU THERMALE 50ML OFFERTE";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/la-roche-posay-pack-pigmentclar-uv-spf30-eau-thermale-50ml-offerte"
"PS-LA-ROCHE-POSAY-COFFRET-P-90D57D";"";"LA ROCHE POSAY COFFRET PURE VITAMIN C12 SERUM + UVMUNE 400 Fluide Invisible 15ML OFFERT";"0.000";"0.000";"141.600";"168.504";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/laroche-posay/la-roche-posay-coffret-hyalu-b5-serum-uvmune-400-fluide-invisible-15ml-offert-600x315w.jpg";"LA ROCHE POSAY COFFRET PURE VITAMIN C12 SERUM + UVMUNE 400 Fluide Invisible 15ML OFFERT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/la-roche-posay-coffret-pure-vitamin-c12-serum-uvmune-400-fluide-invisible-15ml-offert"
"PS-SENSILIS-PACK-SKIN-GLOW--E1B67B";"";"SENSILIS PACK SKIN GLOW ILLUMINATION TREATMENT";"0.000";"0.000";"164.916";"196.250";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/sensilis/sensilis-pack-skin-glow-illumination-treatment-600x315w.jpg";"SENSILIS PACK SKIN GLOW ILLUMINATION TREATMENT";"";"visage";"220.426";"-25%";"";"";"";"https://www.parashop.tn/visage/sensilis-pack-skin-glow-illumination-treatment"
"PS-NUXE-TROUSSE-MERVEILLANC-C19FB7";"";"NUXE TROUSSE Merveillance Lift Le Serum en Huile Activateur de Fermete";"0.000";"0.000";"132.960";"158.222";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/nuxe/nuxe-trousse-merveillance-lift-le-serum-en-huile-activateur-de-fermete-600x315w.jpg";"NUXE TROUSSE Merveillance Lift Le Serum en Huile Activateur de Fermete";"NUXE";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/nuxe-trousse-merveillance-lift-le-serum-en-huile-activateur-de-fermete"
"PS-SENSILIS-PACK-UPGRADE-SE-7DAF8C";"";"SENSILIS PACK UPGRADE Serum + HYDRA ESSENCE GEL SORBET OFFERT";"0.000";"0.000";"173.980";"207.036";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/sensilis/sensilis-pack-upgrade-serum-hydra-essence-gel-sorbet-offert-600x315w.jpg";"SENSILIS UPGRADE Sérum est un concentré de rajeunissement intensif qui lisse les rides et les lignes d";"";"visage";"271.296";"-25%";"";"";"";"https://www.parashop.tn/visage/sensilis-pack-upgrade-serum-hydra-essence-gel-sorbet-offert"
"PS-SVR-TROUSSE-AMPOULE-A-LI-E7F320";"";"SVR TROUSSE AMPOULE A LIFT + SUN SECURE BLUR";"0.000";"0.000";"128.571";"153.000";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-trousse-ampoule-a-lift-sun-secure-blur-600x315w.jpg";"SVR TROUSSE AMPOULE A LIFT + SUN SECURE BLUR";"SVR";"visage";"183.333";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-trousse-ampoule-a-lift-sun-secure-blur"
"PS-NUXE-TROUSSE-PRODIGIEUSE-407D9D";"";"NUXE TROUSSE Prodigieuse Boost Creme Eclat Multi Correction";"0.000";"0.000";"92.395";"99.000";"7.149";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/nuxe/nuxe-trousse-prodigieuse-boost-creme-eclat-multi-correction-600x315w.jpg";"NUXE TROUSSE Prodigieuse Boost Creme Eclat Multi Correction disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"NUXE";"visage";"109.950";"-25%";"";"";"";"https://www.parashop.tn/visage/nuxe-trousse-prodigieuse-boost-creme-eclat-multi-correction"
